ID,I_STATE,RR,AA,FFF,NNNNNNNNNN,DD,MM,YYYY,UPSZN_DATE,DATE_UPSZN,TR_DATE,RECEIPT_CREATE_FLAG,C_REQUESTFILE,C_RESPONSEFILE,I_MODE,STATE,STATEDESCRIPTION,MSGID,STATUS,STATUSDESCRIPTION,SUM_TOTAL,SUM_GRANTED,SUM_DENIED,COUNT_TOTAL,COUNT_GRANTED,COUNT_DENIED,REPORT_DATE,COPY_DATE,SERVICE, 
6,51,05,09,000,0003,01,01,2019,15.01.2019,15.01.2019,15.01.2019,1,RO05090000003012019,RU05090000003012019,check,-2,,bad69f47-6752-4c94-a56f-80a322c783ee,ESBSuccess,,0,0,0,,,,,,recipient, 
1,70,05,09,000,0001,01,01,2019,14.01.2019,14.01.2019,14.01.2019,1,RO05090000001012019,RU05090000001012019,finish,1, ,0483ded2-f811-4a02-89d0-322ac023fd37,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
10,51,12,42,000,0001,01,01,2019,16.01.2019,16.01.2019,,1,RO12420000001012019,RO12420000001012019,check,-2,,5ff9d289-bca3-4175-b518-a91182032e9e,ESBFailed,"ESB126303: Помилка підпису SIGN. Цифровий підпис недійсний. Криптографічний контекст не встановлений для задачі &quot,Перевірка цифрового підпису&quot,.",0,0,0,,,,,,recipient, 
14,51,05,17,000,0001,01,01,2019,17.01.2019,17.01.2019,,1,RO05170000001012019,RO05170000001012019,check,-2,,3737c679-ff31-455f-b37e-899ef03cabda,ESBFailed,"ESB126303: Помилка підпису SIGN. Цифровий підпис недійсний. Не знайдено сертифікат видавця з Ід.ключа=ab6c7df9a3891da17ac6b7e16a8755a19d28104cc31c5ae1c52ce0f8a000e655, який потрібен для перевірки сертифіката:
Власник: ST=ВІННИЦЬКА, L=ПІЩАНКА, C=UA, SERIALNUMBER=3229025, GIVENNAME=ІННА МИХАЙЛІВНА, SURNAME=ЛУК&apos,ЯНОВА, CN=ЛУК&apos,ЯНОВА ІННА МИХАЙЛІВНА, T=ГОЛОВНИЙ СПЕЦIАЛIСТ ВIДДIЛУ ДОПОМОГ, O=ОМС УПР. ПРАЦI ТА СОЦ. ЗАХИСТУ НАСЕЛЕННЯ ПIЩАНСЬКОЇ РДА,
Видавець: L=Київ, C=UA, SERIALNUMBER=UA-14360570-2018, CN=АЦСК АТ КБ «ПРИВАТБАНК», OU=АЦСК, O=АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК «ПРИВАТБАНК»,
Серійний номер: 247906057610293349115230444096198571993754616064,
Ід. ключа: 3f1303e54db7556e8a96834deb77e4a038aa9b7435167ce776cbf483e6239064..",0,0,0,,,,,,recipient, 
20,41,68,02,000,0001,01,01,2019,17.01.2019,17.01.2019,,1,RO68020000001012019,RO68020000001012019,push,-1,,,ECCFailed,IOC-005:Помилка 2 підпису(невідповідність ролі),0,0,0,,,,,,recipient, 
25,70,48,17,000,0002,01,01,2019,17.01.2019,21.01.2019,21.01.2019,1,RO48170000002012019,RU48170000002012019,finish,1,,d48b65ae-2bd8-4da4-8887-77d01506570f,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
47,41,68,02,000,0001,01,01,2019,21.01.2019,21.01.2019,,1,RO68020000001012019,RO68020000001012019,push,-1,,,ECCFailed,IOC-005:Помилка 2 підпису(невідповідність ролі),0,0,0,,,,,,recipient, 
69,70,05,17,000,0003,01,01,2019,21.01.2019,21.01.2019,21.01.2019,1,RO05170000003012019,RU05170000003012019,finish,1,,2c4d7c2a-5f9d-429c-ba32-28e16ccbd37b,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
76,41,61,03,001,0001,01,01,2019,21.01.2019,21.01.2019,,1,RO61030010001012019,RO61030010001012019,push,-1,,,ECCFailed,IOC-001:Помилка XSD-схеми,0,0,0,,,,,,recipient, 
79,70,13,18,000,0001,01,01,2019,21.01.2019,21.01.2019,21.01.2019,1,RO13180000001012019,RU13180000001012019,finish,1,,44ed68c5-7066-4a48-b482-cb9aca72e431,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
88,41,32,24,000,0001,01,01,2019,22.01.2019,22.01.2019,,1,RO32240000001012019,RO32240000001012019,push,-1,ESB126305: regId реєстру співпадає з отриманим раніше,,ECCSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
95,70,05,06,000,0003,01,01,2019,22.01.2019,22.01.2019,22.01.2019,1,RO05060000003012019,RU05060000003012019,finish,1,,7c7af6bb-6d3c-4d8a-912b-08186e87bb43,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
102,41,13,12,000,0003,01,01,2019,22.01.2019,22.01.2019,,1,RO13120000003012019,RO13120000003012019,push,-1,,,ECCFailed,IOC-001:Помилка XSD-схеми,0,0,0,,,,,,recipient, 
107,70,14,51,000,0001,01,01,2019,22.01.2019,22.01.2019,22.01.2019,1,RO14510000001012019,RU14510000001012019,finish,1,,a1a2f6e2-921d-4a35-aec7-8d9caf172983,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
112,70,35,11,000,0004,01,01,2019,22.01.2019,22.01.2019,22.01.2019,1,RO35110000004012019,RU35110000004012019,finish,1,,06258b9c-ae19-47ad-9258-79a0d6d48495,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
117,70,35,21,000,0002,01,01,2019,22.01.2019,22.01.2019,22.01.2019,1,RO35210000002012019,RU35210000002012019,finish,1,,518dec16-61f4-4ede-8232-beedfb3842b4,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
122,41,48,17,000,0005,01,01,2019,22.01.2019,22.01.2019,,1,RO48170000005012019,RO48170000005012019,push,-1,,,ECCFailed,IOC-001:Помилка XSD-схеми,0,0,0,,,,,,recipient, 
