I_REGION,ID,C_NAME,LATITUDE,LONGITUDE
65,6523,СУВОРОВСЬКИЙ Р-Н М.ХЕРСОН,46.64009,32.61421
65,6524,М.ГОЛА ПРИСТАНЬ ХЕРСОНСЬКА ОБЛ.,46.52824,32.55908
68,6801,БІЛОГІРСЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,50.00068,26.41324
68,6802,ВІНЬКОВЕЦЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,49.03508,27.2319
68,6803,ВОЛОЧИСЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,49.5359,26.21049
68,6804,ГОРОДОЦЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,49.17136,26.56464
68,6805,ДЕРАЖНЯНСЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,49.28358,27.48168
68,6806,ДУНАЄВЕЦЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,48.88982,26.85627
68,6807,ІЗЯСЛАВСЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,50.12006,26.82033
68,6808,КАМ'ЯНЕЦЬ-ПОДІЛЬСЬКИЙ Р-Н ХМЕЛЬН.ОБЛ.,48.7611,26.3943
68,6809,КРАСИЛІВСЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.Ю,49.65441,26.9759
68,6810,ЛЕТИЧІВСЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,49.38217,27.623
68,6811,НОВОУШИЦЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,48.83727,27.27508
68,6812,ПОЛОНСЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,50.12295,27.50827
68,6813,СТАРОКОСТЯНТИНІВСЬКИЙ Р-Н ХМЕЛЬН.ОБЛ.,49.75468,27.40229
68,6814,СТАРОСИНЯВСЬКИЙ Р-Н ХМЕЛЬН.ОБЛ.,49.59656,27.61314
68,6815,ТЕОФІПОЛЬСЬКИЙ Р-Н ХМЕЛЬНИЦЬК.ОБЛ,49.83581,26.41427
68,6816,ХМЕЛЬНИЦЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,49.41682,26.97434
68,6817,ЧЕМЕРОВЕЦЬКИЙ Р-Н ХМЕЛЬНИЦЬК.ОБЛ.,49.00965,26.34053
68,6818,ШЕПЕТІВСЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,50.17083,27.11973
68,6819,ЯРМОЛИНЕЦЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,49.19127,26.83542
68,6820,М.ХМЕЛЬНИЦЬКИЙ 1 ХМЕЛЬНИЦЬКА ОБЛ.,48.70588,26.57527
68,6821,М.КАМ'ЯНЕЦЬ-ПОДІЛЬСЬКИЙ  ХМЕЛЬН.ОБЛ.,48.7611,26.3943
68,6822,М.СЛАВУТА ХМЕЛЬНИЦЬКА ОБЛ.,50.29618,26.86559
68,6823,СЛАВУТСЬКИЙ Р-Н ХМЕЛЬНИЦЬКА ОБЛ.,50.35279,26.7017
68,6824,М.ШЕПЕТІВКА ХМЕЛЬНИЦЬКА ОБЛ.,50.17996,27.06513
68,6825,М.ХМЕЛЬНИЦЬКИЙ 2 ХМЕЛЬНИЦЬКА ОБЛ.,48.70589,26.57527
68,6826,М.НЕТІШИН ХМЕЛЬНИЦЬК.ОБЛ,50.34516,26.62148
68,6827,М.СТАРОКОСТЯНТИНІВ ХМЕЛЬНИЦЬКА ОБЛ.,49.75549,27.21232
71,7101,ПРИДНІПРОВСЬКИЙ Р-Н М.ЧЕРКАСИ,49.50027,32.38607
71,7102,СОСНІВСЬКИЙ Р-Н М.ЧЕРКАСИ,49.44069,32.06368
71,7103,М.КАНІВ ЧЕРКАСЬКА ОБЛ.,49.75083,31.46942
71,7104,М.СМІЛА ЧЕРКАСЬКА ОБЛ.,49.23332,31.88211
71,7105,М.УМАНЬ ЧЕРКАСЬКА ОБЛ.,48.75055,30.22463
71,7106,ГОРОДИЩЕНСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ,49.2836,31.44309
71,7107,ДРАБІВСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49.96188,32.15162
71,7108,ЖАШКІВСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49.24787,30.10121
71,7109,ЗВЕНИГОРОДСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49.01615,31.06199
71,7110,ЗОЛОТОНІСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49.661,32.06344
71,7111,КОРСУНЬ-ШЕВЧЕНКІВСЬКИЙ Р-Н ЧЕРКАС.ОБЛ.,49.42149,31.26194
71,7112,КАНІВСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49.75083,31.46942
71,7113,КАМ'ЯНСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49.03004,32.10374
71,7114,КАТЕРИНОПІЛЬСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,48.94549,30.97148
71,7115,ЛИСЯНСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49.25109,30.82844
71,7116,МАНЬКІВСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,48.963,30.33372
71,7117,МОНАСТЕРИЩЕНСЬКИЙ Р-Н ЧЕРКАС.ОБЛ.,48.99546,29.80764
71,7118,СМІЛЯНСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49.22826,31.8462
71,7119,ТАЛЬНІВСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,48.88895,30.69601
71,7120,УМАНСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,48.70069,30.44836
71,7121,ХРИСТИНІВСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,48.81327,29.9806
71,7122,ЧЕРКАСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49.37315,32.15996
71,7123,ЧОРНОБАЇВСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49.67402,32.31653
71,7124,ЧИГИРИНСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49.07979,32.66166
71,7125,ШПОЛЯНСЬКИЙ Р-Н ЧЕРКАСЬКА ОБЛ.,49013,31.39152
71,7126,М.ВАТУТІНЕ ЧЕРКАСЬКА ОБЛ.,49.01224,31.04601
71,7127,М.ЗОЛОТОНОША ЧЕРКАСЬКА ОБЛ.,49.66828,32.04345
